file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track23\Track23.unique.ovl,tks,76,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track24\Track24.common.ovl,tks,84,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track24\Track24.unique.ovl,tks,84,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track25\Track25.common.ovl,tks,34,"Helixlargeupleft; Helixlargeupright; Helixsmallupleft"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track25\Track25.unique.ovl,tks,34,"Helixlargeupleft; Helixlargeupright; Helixsmallupleft"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track26\Track26.common.ovl,tks,5,"Straight2verticalmedium; Straight; Straight2verticalsmall"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track26\Track26.unique.ovl,tks,5,"Straight2verticalmedium; Straight; Straight2verticalsmall"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track27\Track27.common.ovl,tks,96,"Invstraight2medslopedown; 45invmedslope2straightchain; 45invstraight2medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track27\Track27.unique.ovl,tks,96,"Invstraight2medslopedown; 45invmedslope2straightchain; 45invstraight2medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track28\Track28.common.ovl,tks,20,"Medslope2straight; SteepslopezerogrollRight; Vertical2steepslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track28\Track28.unique.ovl,tks,20,"Medslope2straight; SteepslopezerogrollRight; Vertical2steepslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track29\Track29.common.ovl,tks,58,"45medslope2straighttiltright; Medslopeloosecurveleft; 45SteepSlopeChain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track29\Track29.unique.ovl,tks,58,"45medslope2straighttiltright; Medslopeloosecurveleft; 45SteepSlopeChain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track3\Track3.common.ovl,tks,223,"45invmedslope2straightchain; Invsteepslopemedcurveright; 45invstraight2medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track3\Track3.unique.ovl,tks,223,"45invmedslope2straightchain; Invsteepslopemedcurveright; 45invstraight2medslopechain"
