file,shs_entries,sample_symbols,crash
Path\Asphalt\Asphalt_Slope_Straight.common.ovl,3,Asphalt_Slope_Straight|Asphalt_Slope_Straight_Low|Asphalt_Slope_Straight_Med,
Path\Asphalt\Asphalt_Slope_Straight.unique.ovl,3,Asphalt_Slope_Straight|Asphalt_Slope_Straight_Low|Asphalt_Slope_Straight_Med,
Path\Asphalt\Asphalt_Slope_Straight_left.common.ovl,3,Asphalt_Slope_Straight_left|Asphalt_Slope_Straight_left_Low|Asphalt_Slope_Straight_left_Med,
Path\Asphalt\Asphalt_Slope_Straight_left.unique.ovl,3,Asphalt_Slope_Straight_left|Asphalt_Slope_Straight_left_Low|Asphalt_Slope_Straight_left_Med,
Path\Asphalt\Asphalt_Slope_Straight_Right.common.ovl,3,Asphalt_Slope_Straight_Right|Asphalt_Slope_Straight_Right_Low|Asphalt_Slope_Straight_Right_Med,
Path\Asphalt\Asphalt_Slope_Straight_Right.unique.ovl,3,Asphalt_Slope_Straight_Right|Asphalt_Slope_Straight_Right_Low|Asphalt_Slope_Straight_Right_Med,
Path\Asphalt\Asphalt_Straight_A.common.ovl,3,Asphalt_Straight_A|Asphalt_Straight_A_Low|Asphalt_Straight_A_Med,
Path\Asphalt\Asphalt_Straight_A.unique.ovl,3,Asphalt_Straight_A|Asphalt_Straight_A_Low|Asphalt_Straight_A_Med,
Path\Asphalt\Asphalt_Straight_B.common.ovl,3,Asphalt_Straight_B|Asphalt_Straight_B_Low|Asphalt_Straight_B_Med,
Path\Asphalt\Asphalt_Straight_B.unique.ovl,3,Asphalt_Straight_B|Asphalt_Straight_B_Low|Asphalt_Straight_B_Med,
Path\Asphalt\Asphalt_Turn_L_A.common.ovl,3,Asphalt_Turn_L_A|Asphalt_Turn_L_A_Low|Asphalt_Turn_L_A_Med,
Path\Asphalt\Asphalt_Turn_L_A.unique.ovl,3,Asphalt_Turn_L_A|Asphalt_Turn_L_A_Low|Asphalt_Turn_L_A_Med,
Path\Asphalt\Asphalt_Turn_L_B.common.ovl,3,Asphalt_Turn_L_B|Asphalt_Turn_L_B_Low|Asphalt_Turn_L_B_Med,
Path\Asphalt\Asphalt_Turn_L_B.unique.ovl,3,Asphalt_Turn_L_B|Asphalt_Turn_L_B_Low|Asphalt_Turn_L_B_Med,
Path\Asphalt\Asphalt_Turn_T_A.common.ovl,3,Asphalt_Turn_T_A|Asphalt_Turn_T_A_Low|Asphalt_Turn_T_A_Med,
Path\Asphalt\Asphalt_Turn_T_A.unique.ovl,3,Asphalt_Turn_T_A|Asphalt_Turn_T_A_Low|Asphalt_Turn_T_A_Med,
Path\Asphalt\Asphalt_Turn_T_B.common.ovl,3,Asphalt_Turn_T_B|Asphalt_Turn_T_B_Low|Asphalt_Turn_T_B_Med,
Path\Asphalt\Asphalt_Turn_T_B.unique.ovl,3,Asphalt_Turn_T_B|Asphalt_Turn_T_B_Low|Asphalt_Turn_T_B_Med,
Path\Asphalt\Asphalt_Turn_T_C.common.ovl,3,Asphalt_Turn_T_C|Asphalt_Turn_T_C_Low|Asphalt_Turn_T_C_Med,
Path\Asphalt\Asphalt_Turn_T_C.unique.ovl,3,Asphalt_Turn_T_C|Asphalt_Turn_T_C_Low|Asphalt_Turn_T_C_Med,
Path\Asphalt\Asphalt_Turn_U.common.ovl,3,Asphalt_Turn_U|Asphalt_Turn_U_Low|Asphalt_Turn_U_Med,
Path\Asphalt\Asphalt_Turn_U.unique.ovl,3,Asphalt_Turn_U|Asphalt_Turn_U_Low|Asphalt_Turn_U_Med,
Path\Asphalt\Asphalt_Turn_X.common.ovl,3,Asphalt_Turn_X|Asphalt_Turn_X_Low|Asphalt_Turn_X_Med,
Path\Asphalt\Asphalt_Turn_X.unique.ovl,3,Asphalt_Turn_X|Asphalt_Turn_X_Low|Asphalt_Turn_X_Med,
Path\Crazy\Crazy_Corner_A.common.ovl,3,Crazy_Corner_A|Crazy_Corner_A_Low|Crazy_Corner_A_Med,
Path\Crazy\Crazy_Corner_A.unique.ovl,3,Crazy_Corner_A|Crazy_Corner_A_Low|Crazy_Corner_A_Med,
Path\Crazy\Crazy_Corner_B.common.ovl,3,Crazy_Corner_B|Crazy_Corner_B_Low|Crazy_Corner_B_Med,
Path\Crazy\Crazy_Corner_B.unique.ovl,3,Crazy_Corner_B|Crazy_Corner_B_Low|Crazy_Corner_B_Med,
Path\Crazy\Crazy_Corner_C.common.ovl,3,Crazy_Corner_C|Crazy_Corner_C_Low|Crazy_Corner_C_Med,
Path\Crazy\Crazy_Corner_C.unique.ovl,3,Crazy_Corner_C|Crazy_Corner_C_Low|Crazy_Corner_C_Med,
Path\Crazy\Crazy_Corner_D.common.ovl,3,Crazy_Corner_D|Crazy_Corner_D_Low|Crazy_Corner_D_Med,
Path\Crazy\Crazy_Corner_D.unique.ovl,3,Crazy_Corner_D|Crazy_Corner_D_Low|Crazy_Corner_D_Med,
Path\Crazy\Crazy_Flat.common.ovl,3,Crazy_Flat|Crazy_Flat_Low|Crazy_Flat_Med,
Path\Crazy\Crazy_Flat.unique.ovl,3,Crazy_Flat|Crazy_Flat_Low|Crazy_Flat_Med,
Path\Crazy\Crazy_Slope.common.ovl,3,Crazy_Slope|Crazy_Slope_Low|Crazy_Slope_Med,
