file,shs_entries,sample_symbols,crash
Supports\PathUnderWater\water8m.common.ovl,2,Water8m_low|Water8m_hi,
Supports\PathUnderWater\water8m.unique.ovl,2,Water8m_low|Water8m_hi,
Supports\QueueSet1\QS11m.common.ovl,2,QS11mHi|QS11mLow,
Supports\QueueSet1\QS11m.unique.ovl,2,QS11mHi|QS11mLow,
Supports\QueueSet1\QS11mBottom.common.ovl,2,QS11mBottomHi|QS11mBottomlow,
Supports\QueueSet1\QS11mBottom.unique.ovl,2,QS11mBottomHi|QS11mBottomlow,
Supports\QueueSet1\QS11mBottomExtra.common.ovl,2,QS11mBottomExtraHi|QS11mBottomExtralow,
Supports\QueueSet1\QS11mBottomExtra.unique.ovl,2,QS11mBottomExtraHi|QS11mBottomExtralow,
Supports\QueueSet1\QS12m.common.ovl,2,QS12mHi|QS12mLow,
Supports\QueueSet1\QS12m.unique.ovl,2,QS12mHi|QS12mLow,
Supports\QueueSet1\QS14m.common.ovl,2,QS14mHi|QS14mLow,
Supports\QueueSet1\QS14m.unique.ovl,2,QS14mHi|QS14mLow,
Supports\QueueSet1\QS18m.common.ovl,2,QS18mHi|QS18mLow,
Supports\QueueSet1\QS18m.unique.ovl,2,QS18mHi|QS18mLow,
Supports\Scaffolding\Scaff1m.common.ovl,2,Scaff1m_HI|Scaff1m_Lo02,
Supports\Scaffolding\Scaff1m.unique.ovl,2,Scaff1m_HI|Scaff1m_Lo02,
Supports\Scaffolding\Scaff1mExtra_Base.common.ovl,2,Scaff1mExtra_Base_HI|Scaff1mExtra_BaseLO02,
Supports\Scaffolding\Scaff1mExtra_Base.unique.ovl,2,Scaff1mExtra_Base_HI|Scaff1mExtra_BaseLO02,
Supports\Scaffolding\Scaff1mTop.common.ovl,2,Scaff1mTop_HI|Scaff1mTop_LO02,
Supports\Scaffolding\Scaff1mTop.unique.ovl,2,Scaff1mTop_HI|Scaff1mTop_LO02,
Supports\Scaffolding\Scaff1m_Base.common.ovl,2,Scaff1m_Base_HI|Scaff1m_Base_Lo02,
Supports\Scaffolding\Scaff1m_Base.unique.ovl,2,Scaff1m_Base_HI|Scaff1m_Base_Lo02,
Supports\Scaffolding\Scaff2m.common.ovl,2,Scaff2m_HI|Scaff2m_Lo02,
Supports\Scaffolding\Scaff2m.unique.ovl,2,Scaff2m_HI|Scaff2m_Lo02,
Supports\Scaffolding\Scaff4m.common.ovl,2,Scaff4m_HI|Scaff4m_Lo02,
Supports\Scaffolding\Scaff4m.unique.ovl,2,Scaff4m_HI|Scaff4m_Lo02,
Supports\Scaffolding\Scaff8m.common.ovl,2,Scaff8m_HI|Scaff8m_Lo02,
Supports\Scaffolding\Scaff8m.unique.ovl,2,Scaff8m_HI|Scaff8m_Lo02,
Supports\SpaceQueue\SpaceSupport1m.common.ovl,2,Space1m_HI|Space1m_LOW,
Supports\SpaceQueue\SpaceSupport1m.unique.ovl,2,Space1m_HI|Space1m_LOW,
Supports\SpaceQueue\SpaceSupport1mBottom.common.ovl,2,Space1mBot_HI|Space1mBot_LOW,
Supports\SpaceQueue\SpaceSupport1mBottom.unique.ovl,2,Space1mBot_HI|Space1mBot_LOW,
Supports\SpaceQueue\SpaceSupport1mBottomExtra.common.ovl,2,Space1mBotExtra_HI|Space1mBotExtra_LOW,
Supports\SpaceQueue\SpaceSupport1mBottomExtra.unique.ovl,2,Space1mBotExtra_HI|Space1mBotExtra_LOW,
Supports\SpaceQueue\SpaceSupport2m.common.ovl,2,Space2m_HI|Space2m_LOW,
Supports\SpaceQueue\SpaceSupport2m.unique.ovl,2,Space2m_HI|Space2m_LOW,
Supports\SpaceQueue\SpaceSupport4m.common.ovl,2,Space4m_HI|Space4m_LOW,
Supports\SpaceQueue\SpaceSupport4m.unique.ovl,2,Space4m_HI|Space4m_LOW,
Supports\SpaceQueue\SpaceSupport8m.common.ovl,2,Space8m_HI|Space8m_LOW,
Supports\SpaceQueue\SpaceSupport8m.unique.ovl,2,Space8m_HI|Space8m_LOW,
Supports\SpookyQueue\SpoSupport1m.common.ovl,2,Spo1mHI|Spo1mLOW,
Supports\SpookyQueue\SpoSupport1m.unique.ovl,2,Spo1mHI|Spo1mLOW,
Supports\SpookyQueue\SpoSupport1mBottom.common.ovl,2,Spo1mBottomHI|Spo1mBottomLOW,
Supports\SpookyQueue\SpoSupport1mBottom.unique.ovl,2,Spo1mBottomHI|Spo1mBottomLOW,
Supports\SpookyQueue\SpoSupport1mBottomExtra.common.ovl,2,Spo1mBottomExtraHI|Spo1mBottomExtraLOW,
Supports\SpookyQueue\SpoSupport1mBottomExtra.unique.ovl,2,Spo1mBottomExtraHI|Spo1mBottomExtraLOW,
Supports\SpookyQueue\SpoSupport2m.common.ovl,2,Spo2mHI|Spo2mLOW,
Supports\SpookyQueue\SpoSupport2m.unique.ovl,2,Spo2mHI|Spo2mLOW,
Supports\SpookyQueue\SpoSupport4m.common.ovl,2,Spo4mHI|Spo4mLOW,
Supports\SpookyQueue\SpoSupport4m.unique.ovl,2,Spo4mHI|Spo4mLOW,
Supports\SpookyQueue\SpoSupport8m.common.ovl,2,Spo8mHI|Spo8mLOW,
Supports\SpookyQueue\SpoSupport8m.unique.ovl,2,Spo8mHI|Spo8mLOW,
Supports\Steel\SteelSupport1m.common.ovl,3,SteelSupport1mHI|SteelSupport1mLOW|SteelSupport1mMED,
Supports\Steel\SteelSupport1m.unique.ovl,3,SteelSupport1mHI|SteelSupport1mLOW|SteelSupport1mMED,
Supports\Steel\SteelSupport1mBottom.common.ovl,3,SteelSupport1mBottomHI|SteelSupport1mBottomLOW|SteelSupport1mBottomMED,
Supports\Steel\SteelSupport1mBottom.unique.ovl,3,SteelSupport1mBottomHI|SteelSupport1mBottomLOW|SteelSupport1mBottomMED,
Supports\Steel\SteelSupport1mBottomExtra.common.ovl,3,SteelSupport1mBottomExtraHI|SteelSupport1mBottomExtraLOW|SteelSupport1mBottomExtraMED,
Supports\Steel\SteelSupport1mBottomExtra.unique.ovl,3,SteelSupport1mBottomExtraHI|SteelSupport1mBottomExtraLOW|SteelSupport1mBottomExtraMED,
Supports\Steel\SteelSupport2m.common.ovl,3,SteelSupport2mHI|SteelSupport2mLOW|SteelSupport2mMED,
Supports\Steel\SteelSupport2m.unique.ovl,3,SteelSupport2mHI|SteelSupport2mLOW|SteelSupport2mMED,
Supports\Steel\SteelSupport4m.common.ovl,3,SteelSupport4mHI|SteelSupport4mLOW|SteelSupport4mMED,
Supports\Steel\SteelSupport4m.unique.ovl,3,SteelSupport4mHI|SteelSupport4mLOW|SteelSupport4mMED,
Supports\Steel\SteelSupport8m.common.ovl,3,SteelSupport8mHI|SteelSupport8mLOW|SteelSupport8mMED,
Supports\Steel\SteelSupport8m.unique.ovl,3,SteelSupport8mHI|SteelSupport8mLOW|SteelSupport8mMED,
Supports\ts1\ts1_girder_1L.common.ovl,2,ts1_girder_1L_HI|ts1_girder_1L_LO,
Supports\ts1\ts1_girder_1L.unique.ovl,2,ts1_girder_1L_HI|ts1_girder_1L_LO,
Supports\ts1\ts1_girder_2L.common.ovl,2,ts1_girder_2L_HI|ts1_girder_2L_LO,
Supports\ts1\ts1_girder_2L.unique.ovl,2,ts1_girder_2L_HI|ts1_girder_2L_LO,
Supports\ts1\ts1_girder_3L.common.ovl,2,ts1_girder_3L_HI|ts1_girder_3L_LO,
Supports\ts1\ts1_girder_3L.unique.ovl,2,ts1_girder_3L_HI|ts1_girder_3L_LO,
Supports\ts1\ts1_supportbotextra_1H.common.ovl,2,ts1_supportbotextra_1H_HI|ts1_supportbotextra_1H_LO,
Supports\ts1\ts1_supportbotextra_1H.unique.ovl,2,ts1_supportbotextra_1H_HI|ts1_supportbotextra_1H_LO,
Supports\ts1\ts1_supportbot_1H.common.ovl,2,ts1_supportbot_1H_HI|ts1_supportbot_1H_LO,
Supports\ts1\ts1_supportbot_1H.unique.ovl,2,ts1_supportbot_1H_HI|ts1_supportbot_1H_LO,
Supports\ts1\ts1_supportCap.common.ovl,1,ts1_supportCap_HI,
Supports\ts1\ts1_supportCap.unique.ovl,1,ts1_supportCap_HI,
Supports\ts1\ts1_supporttop_1H.common.ovl,2,ts1_supporttop_1H_HI|ts1_supporttop_1H_LO,
Supports\ts1\ts1_supporttop_1H.unique.ovl,2,ts1_supporttop_1H_HI|ts1_supporttop_1H_LO,
Supports\ts1\ts1_support_1H.common.ovl,2,ts1_support_1H_HI|ts1_support_1H_LO,
Supports\ts1\ts1_support_1H.unique.ovl,2,ts1_support_1H_HI|ts1_support_1H_LO,
Supports\ts1\ts1_support_2H.common.ovl,2,ts1_support_2H_HI|ts1_support_2H_LO,
Supports\ts1\ts1_support_2H.unique.ovl,2,ts1_support_2H_HI|ts1_support_2H_LO,
Supports\ts1\ts1_support_4H.common.ovl,2,ts1_support_4H_HI|ts1_support_4H_LO,
Supports\ts1\ts1_support_4H.unique.ovl,2,ts1_support_4H_HI|ts1_support_4H_LO,
Supports\ts1\ts1_support_8H.common.ovl,2,ts1_support_8H_HI|ts1_support_8H_LO,
Supports\ts1\ts1_support_8H.unique.ovl,2,ts1_support_8H_HI|ts1_support_8H_LO,
Supports\ts1a\ts1a_girder_1L.common.ovl,1,ts1a_girder_1L_HI,
Supports\ts1a\ts1a_girder_1L.unique.ovl,1,ts1a_girder_1L_HI,
Supports\ts1a\ts1a_girder_2L.common.ovl,1,ts1a_girder_2L_HI,
Supports\ts1a\ts1a_girder_2L.unique.ovl,1,ts1a_girder_2L_HI,
Supports\ts1a\ts1a_girder_3L.common.ovl,1,ts1a_girder_3L_HI,
Supports\ts1a\ts1a_girder_3L.unique.ovl,1,ts1a_girder_3L_HI,
Supports\ts1a\ts1a_supporttop_1H.common.ovl,2,ts1a_supporttop_1H_HI|ts1a_supporttop_1H_LO,
Supports\ts1a\ts1a_supporttop_1H.unique.ovl,2,ts1a_supporttop_1H_HI|ts1a_supporttop_1H_LO,
Supports\ts2\ts2_supportbotdiag_1H.common.ovl,2,ts2_supportbotdiag_1H_HI|ts2_supportbotdiag_1H_LO,
Supports\ts2\ts2_supportbotdiag_1H.unique.ovl,2,ts2_supportbotdiag_1H_HI|ts2_supportbotdiag_1H_LO,
Supports\ts2\ts2_supportbotextradiag_2H.common.ovl,2,ts2_supportbotextradiag_2H_HI|ts2_supportbotextradiag_2H_LO,
Supports\ts2\ts2_supportbotextradiag_2H.unique.ovl,2,ts2_supportbotextradiag_2H_HI|ts2_supportbotextradiag_2H_LO,
Supports\ts2\ts2_supportbotextra_2H.common.ovl,2,ts2_supportbotextra_2H_HI|ts2_supportbotextra_2H_LO,
Supports\ts2\ts2_supportbotextra_2H.unique.ovl,2,ts2_supportbotextra_2H_HI|ts2_supportbotextra_2H_LO,
Supports\ts2\ts2_supportbot_1H.common.ovl,2,ts2_supportbot_1H_HI|ts2_supportbot_1H_LO,
Supports\ts2\ts2_supportbot_1H.unique.ovl,2,ts2_supportbot_1H_HI|ts2_supportbot_1H_LO,
Supports\ts2\ts2_supportdiag_1H.common.ovl,2,ts2_supportdiag_1H_HI|ts2_supportdiag_1H_LO,
Supports\ts2\ts2_supportdiag_1H.unique.ovl,2,ts2_supportdiag_1H_HI|ts2_supportdiag_1H_LO,
Supports\ts2\ts2_supportdiag_2H.common.ovl,2,ts2_supportdiag_2H_HI|ts2_supportdiag_2H_LO,
Supports\ts2\ts2_supportdiag_2H.unique.ovl,2,ts2_supportdiag_2H_HI|ts2_supportdiag_2H_LO,
Supports\ts2\ts2_supportdiag_4H.common.ovl,2,ts2_supportdiag_4H_HI|ts2_supportdiag_4H_LO,
Supports\ts2\ts2_supportdiag_4H.unique.ovl,2,ts2_supportdiag_4H_HI|ts2_supportdiag_4H_LO,
Supports\ts2\ts2_supportdiag_8H.common.ovl,2,ts2_supportdiag_8H_HI|ts2_supportdiag_8H_LO,
Supports\ts2\ts2_supportdiag_8H.unique.ovl,2,ts2_supportdiag_8H_HI|ts2_supportdiag_8H_LO,
Supports\ts2\ts2_support_1H.common.ovl,2,ts2_support_1H_HI|ts2_support_1H_LO,
Supports\ts2\ts2_support_1H.unique.ovl,2,ts2_support_1H_HI|ts2_support_1H_LO,
Supports\ts2\ts2_support_2H.common.ovl,2,ts2_support_2H_HI|ts2_support_2H_LO,
Supports\ts2\ts2_support_2H.unique.ovl,2,ts2_support_2H_HI|ts2_support_2H_LO,
Supports\ts2\ts2_support_4H.common.ovl,2,ts2_support_4H_HI|ts2_support_4H_LO,
Supports\ts2\ts2_support_4H.unique.ovl,2,ts2_support_4H_HI|ts2_support_4H_LO,
Supports\ts2\ts2_support_8H.common.ovl,2,ts2_support_8H_HI|ts2_support_8H_LO,
Supports\ts2\ts2_support_8H.unique.ovl,2,ts2_support_8H_HI|ts2_support_8H_LO,
Supports\ts3\ts3_supportbotdiag_1H.common.ovl,2,ts3_supportbotdiag_1H_HI|ts3_supportbotdiag_1H_LO,
Supports\ts3\ts3_supportbotdiag_1H.unique.ovl,2,ts3_supportbotdiag_1H_HI|ts3_supportbotdiag_1H_LO,
Supports\ts3\ts3_supportbotextradiag_1H.common.ovl,2,ts3_supportbotextradiag_1H_HI|ts3_supportbotextradiag_1H_LO,
Supports\ts3\ts3_supportbotextradiag_1H.unique.ovl,2,ts3_supportbotextradiag_1H_HI|ts3_supportbotextradiag_1H_LO,
Supports\ts3\ts3_supportbotextra_1H.common.ovl,2,ts3_supportbotextra_1H_HI|ts3_supportbotextra_1H_LO,
Supports\ts3\ts3_supportbotextra_1H.unique.ovl,2,ts3_supportbotextra_1H_HI|ts3_supportbotextra_1H_LO,
Supports\ts3\ts3_supportbot_1H.common.ovl,2,ts3_supportbot_1H_HI|ts3_supportbot_1H_LO,
Supports\ts3\ts3_supportbot_1H.unique.ovl,2,ts3_supportbot_1H_HI|ts3_supportbot_1H_LO,
Supports\ts3\ts3_supportdiag_1H.common.ovl,2,ts3_supportdiag_1H_HI|ts3_supportdiag_1H_LO,
Supports\ts3\ts3_supportdiag_1H.unique.ovl,2,ts3_supportdiag_1H_HI|ts3_supportdiag_1H_LO,
Supports\ts3\ts3_supportdiag_2H.common.ovl,2,ts3_supportdiag_2H_HI|ts3_supportdiag_2H_LO,
Supports\ts3\ts3_supportdiag_2H.unique.ovl,2,ts3_supportdiag_2H_HI|ts3_supportdiag_2H_LO,
Supports\ts3\ts3_supportdiag_4H.common.ovl,2,ts3_supportdiag_4H_HI|ts3_supportdiag_4H_LO,
Supports\ts3\ts3_supportdiag_4H.unique.ovl,2,ts3_supportdiag_4H_HI|ts3_supportdiag_4H_LO,
Supports\ts3\ts3_supportdiag_8H.common.ovl,2,ts3_supportdiag_8H_HI|ts3_supportdiag_8H_LO,
Supports\ts3\ts3_supportdiag_8H.unique.ovl,2,ts3_supportdiag_8H_HI|ts3_supportdiag_8H_LO,
Supports\ts3\ts3_supporttopdiag_1H.common.ovl,2,ts3_supporttopdiag_1H_HI|ts3_supporttopdiag_1H_LO,
Supports\ts3\ts3_supporttopdiag_1H.unique.ovl,2,ts3_supporttopdiag_1H_HI|ts3_supporttopdiag_1H_LO,
Supports\ts3\ts3_supporttop_1H.common.ovl,2,ts3_supporttop_1H_HI|ts3_supporttop_1H_LO,
Supports\ts3\ts3_supporttop_1H.unique.ovl,2,ts3_supporttop_1H_HI|ts3_supporttop_1H_LO,
Supports\ts3\ts3_support_1H.common.ovl,2,ts3_support_1H_HI|ts3_support_1H_LO,
Supports\ts3\ts3_support_1H.unique.ovl,2,ts3_support_1H_HI|ts3_support_1H_LO,
Supports\ts3\ts3_support_2H.common.ovl,2,ts3_support_2H_HI|ts3_support_2H_LO,
Supports\ts3\ts3_support_2H.unique.ovl,2,ts3_support_2H_HI|ts3_support_2H_LO,
Supports\ts3\ts3_support_4H.common.ovl,2,ts3_support_4H_HI|ts3_support_4H_LO,
Supports\ts3\ts3_support_4H.unique.ovl,2,ts3_support_4H_HI|ts3_support_4H_LO,
Supports\ts3\ts3_support_8H.common.ovl,2,ts3_support_8H_HI|ts3_support_8H_LO,
Supports\ts3\ts3_support_8H.unique.ovl,2,ts3_support_8H_HI|ts3_support_8H_LO,
Supports\ts4\ts4_girder_1L.common.ovl,1,ts4_girder_1L,
Supports\ts4\ts4_girder_1L.unique.ovl,1,ts4_girder_1L,
Supports\ts4\ts4_girder_2L.common.ovl,1,ts4_girder_2L,
Supports\ts4\ts4_girder_2L.unique.ovl,1,ts4_girder_2L,
Supports\ts4\ts4_girder_3L.common.ovl,1,ts4_girder_3L,
Supports\ts4\ts4_girder_3L.unique.ovl,1,ts4_girder_3L,
Supports\ts4\ts4_supportbotextra_2H.common.ovl,1,ts4_supportbotextra_2H,
Supports\ts4\ts4_supportbotextra_2H.unique.ovl,1,ts4_supportbotextra_2H,
Supports\ts4\ts4_supportbot_1H.common.ovl,1,ts4_supportbot_1H,
Supports\ts4\ts4_supportbot_1H.unique.ovl,1,ts4_supportbot_1H,
Supports\ts4\ts4_supporttop_1H.common.ovl,1,ts4_support_1H,
Supports\ts4\ts4_supporttop_1H.unique.ovl,1,ts4_support_1H,
Supports\ts4\ts4_support_1H.common.ovl,1,ts4_support_1H,
Supports\ts4\ts4_support_1H.unique.ovl,1,ts4_support_1H,
Supports\ts4\ts4_support_2H.common.ovl,1,ts4_support_2H,
Supports\ts4\ts4_support_2H.unique.ovl,1,ts4_support_2H,
Supports\ts4\ts4_support_4H.common.ovl,1,ts4_support_4H,
Supports\ts4\ts4_support_4H.unique.ovl,1,ts4_support_4H,
Supports\ts4\ts4_support_8H.common.ovl,1,ts4_support_8H,
Supports\ts4\ts4_support_8H.unique.ovl,1,ts4_support_8H,
Supports\ts5\ts5_supportbotextra_1H.common.ovl,2,ts5_supportbotextra_1H_HI|ts5_supportbotextra_1H_LO,
Supports\ts5\ts5_supportbotextra_1H.unique.ovl,2,ts5_supportbotextra_1H_HI|ts5_supportbotextra_1H_LO,
Supports\ts5\ts5_supportbot_1H.common.ovl,2,ts5_supportbot_1H_HI|ts5_supportbot_1H_LO,
Supports\ts5\ts5_supportbot_1H.unique.ovl,2,ts5_supportbot_1H_HI|ts5_supportbot_1H_LO,
Supports\ts5\ts5_support_1H.common.ovl,2,ts5_support_1H_HI|ts5_support_1H_LO,
Supports\ts5\ts5_support_1H.unique.ovl,2,ts5_support_1H_HI|ts5_support_1H_LO,
Supports\ts5\ts5_support_2H.common.ovl,2,ts5_support_2H_HI|ts5_support_2H_LO,
Supports\ts5\ts5_support_2H.unique.ovl,2,ts5_support_2H_HI|ts5_support_2H_LO,
Supports\ts5\ts5_support_4H.common.ovl,2,ts5_support_4H_HI|ts5_support_4H_LO,
Supports\ts5\ts5_support_4H.unique.ovl,2,ts5_support_4H_HI|ts5_support_4H_LO,
Supports\ts5\ts5_support_8H.common.ovl,2,ts5_support_8H_HI|ts5_support_8H_LO,
Supports\ts5\ts5_support_8H.unique.ovl,2,ts5_support_8H_HI|ts5_support_8H_LO,
Supports\WildWestQueue\WW1m.common.ovl,2,WW1mHi|WW1mLow,
Supports\WildWestQueue\WW1m.unique.ovl,2,WW1mHi|WW1mLow,
Supports\WildWestQueue\WW1mBottom.common.ovl,2,WW1mBottomHi|WW1mBottomlow,
Supports\WildWestQueue\WW1mBottom.unique.ovl,2,WW1mBottomHi|WW1mBottomlow,
Supports\WildWestQueue\WW1mBottomExtra.common.ovl,2,WW1mBottomExtraHi|WW1mBottomExtralow,
Supports\WildWestQueue\WW1mBottomExtra.unique.ovl,2,WW1mBottomExtraHi|WW1mBottomExtralow,
Supports\WildWestQueue\WW2m.common.ovl,2,WW2mHi|WW2mLow,
Supports\WildWestQueue\WW2m.unique.ovl,2,WW2mHi|WW2mLow,
Supports\WildWestQueue\WW4m.common.ovl,2,WW4mHi|WW4mLow,
Supports\WildWestQueue\WW4m.unique.ovl,2,WW4mHi|WW4mLow,
Supports\WildWestQueue\WW8m.common.ovl,2,WW8mHi|WW8mLow,
Supports\WildWestQueue\WW8m.unique.ovl,2,WW8mHi|WW8mLow,
WildAnimals\Darts\Darts.common.ovl,1,tranqdart,
WildAnimals\Darts\Darts.unique.ovl,1,tranqdart,
WildAnimals\Items\Items.common.ovl,7,enrichicemeat|enrichbox|enrichicemango,
WildAnimals\Items\Items.unique.ovl,7,enrichicemeat|enrichbox|enrichicemango,
Cars\CoasterCars\Alpine\Alpine.common.ovl,2,AlpineMedLod|AlpineLowLod,
Cars\CoasterCars\Alpine\Alpine.unique.ovl,2,AlpineMedLod|AlpineLowLod,
Cars\CoasterCars\DragBoatCoaster\DragBoatCoaster.common.ovl,1,DragBoatLink,
Cars\CoasterCars\DragBoatCoaster\DragBoatCoaster.unique.ovl,1,DragBoatLink,
Cars\CoasterCars\EuroSpinner\EuroSpinner.common.ovl,1,EuroSpinnerLink,
Cars\CoasterCars\EuroSpinner\EuroSpinner.unique.ovl,1,EuroSpinnerLink,
Cars\CoasterCars\HyperCoaster\HyperCoaster.common.ovl,2,hyperFrontCarLOD2|HyperMidCarLOD2,
Cars\CoasterCars\HyperCoaster\HyperCoaster.unique.ovl,2,hyperFrontCarLOD2|HyperMidCarLOD2,
Cars\CoasterCars\Link\ArrowsLink.common.ovl,1,ArrowsLink,
Cars\CoasterCars\Link\ArrowsLink.unique.ovl,1,ArrowsLink,
Cars\CoasterCars\Link\ArrowsLinkLarge.common.ovl,1,ArrowsLinkLarge,
Cars\CoasterCars\Link\ArrowsLinkLarge.unique.ovl,1,ArrowsLinkLarge,
Cars\CoasterCars\LongLink\LongLink.common.ovl,1,LongLink,
Cars\CoasterCars\LongLink\LongLink.unique.ovl,1,LongLink,
Cars\CoasterCars\MineRide\MineRide.common.ovl,2,MineRideTrainLOD2|MineRideCartLOD2,
Cars\CoasterCars\MineRide\MineRide.unique.ovl,2,MineRideTrainLOD2|MineRideCartLOD2,
Cars\CoasterCars\MorayEel\MorayEel.common.ovl,3,MorayEelAxelMED|MorayEelAxelLOW|MorayEelLink,
Cars\CoasterCars\MorayEel\MorayEel.unique.ovl,3,MorayEelAxelMED|MorayEelAxelLOW|MorayEelLink,
Cars\CoasterCars\PenguinBobSleigh\PenguinBobSleigh.common.ovl,1,Bogey,
Cars\CoasterCars\PenguinBobSleigh\PenguinBobSleigh.unique.ovl,1,Bogey,
Cars\CoasterCars\RotatingTowercoaster\RotatingTowercoaster.common.ovl,2,RTAxelMedLod|RTAxelLowLod,
Cars\CoasterCars\RotatingTowercoaster\RotatingTowercoaster.unique.ovl,2,RTAxelMedLod|RTAxelLowLod,
Cars\CoasterCars\SiezmicCoaster\SiezmicCoaster.common.ovl,6,SeatsLowLod|SeatsFlipLowLod|BogeyFlipMedLod,
Cars\CoasterCars\SiezmicCoaster\SiezmicCoaster.unique.ovl,6,SeatsLowLod|SeatsFlipLowLod|BogeyFlipMedLod,
Cars\CoasterCars\StormRunner\StormRunner.common.ovl,10,StormRunnerWheelsLMed|StormRunnerFrontMedLOD|StormRunnerFrontLowLOD,
Cars\CoasterCars\StormRunner\StormRunner.unique.ovl,10,StormRunnerWheelsLMed|StormRunnerFrontMedLOD|StormRunnerFrontLowLOD,
Cars\CoasterCars\SuperSoaker\SuperSoaker.common.ovl,2,SuperSoakerBogeyMedLOD|SuperSoakerBogeyLowLOD,
Cars\CoasterCars\SuperSoaker\SuperSoaker.unique.ovl,2,SuperSoakerBogeyMedLOD|SuperSoakerBogeyLowLOD,
Cars\CoasterCars\TigerCoaster\TigerCoaster.common.ovl,3,FrontCarLowLod|RearCarLowLod|MidCarLowLod,
Cars\CoasterCars\TigerCoaster\TigerCoaster.unique.ovl,3,FrontCarLowLod|RearCarLowLod|MidCarLowLod,
Cars\CoasterCars\TriceratopsCoaster\TriceratopsCoaster.common.ovl,1,TriceratopsLowLOD,
Cars\CoasterCars\TriceratopsCoaster\TriceratopsCoaster.unique.ovl,1,TriceratopsLowLOD,
Cars\CoasterCars\TsunamiWheels\TsunamiWheels.common.ovl,2,TsunamiWheelsLow|TsunamiWheelsMed,
Cars\CoasterCars\TsunamiWheels\TsunamiWheels.unique.ovl,2,TsunamiWheelsLow|TsunamiWheelsMed,
Cars\TrackedRideCars\BodySlide\BodySlide.common.ovl,3,BodySlideBogy|BodySlideLow|BodySlideMed,
Cars\TrackedRideCars\BodySlide\BodySlide.unique.ovl,3,BodySlideBogy|BodySlideLow|BodySlideMed,
Cars\TrackedRideCars\MasterBlaster\MasterBlaster.common.ovl,3,MasterBlasterBogy|MasterBlasterLow|MasterBlasterMed,
Cars\TrackedRideCars\MasterBlaster\MasterBlaster.unique.ovl,3,MasterBlasterBogy|MasterBlasterLow|MasterBlasterMed,
Cars\TrackedRideCars\MatSlide\MatSlide.common.ovl,1,MatSlideBogy,
Cars\TrackedRideCars\MatSlide\MatSlide.unique.ovl,1,MatSlideBogy,
Enclosures\Fences\Chain\ChainCorner.common.ovl,6,ChainCorner2HLOD|ChainCorner1MLOD|ChainCorner1LLOD,
Enclosures\Fences\Chain\ChainCorner.unique.ovl,6,ChainCorner2HLOD|ChainCorner1MLOD|ChainCorner1LLOD,
Enclosures\Fences\Chain\ChainCornerI.common.ovl,3,ChainCorner3MLOD|ChainCorner3LLOD|ChainCorner3HLOD,
Enclosures\Fences\Chain\ChainCornerI.unique.ovl,3,ChainCorner3MLOD|ChainCorner3LLOD|ChainCorner3HLOD,
Enclosures\Fences\Chain\ChainEdge.common.ovl,12,ChainEdge1Damage1MLOD|ChainEdge2HLOD|ChainEdge1Damage1LLOD,
Enclosures\Fences\Chain\ChainEdge.unique.ovl,12,ChainEdge1Damage1MLOD|ChainEdge2HLOD|ChainEdge1Damage1LLOD,
Enclosures\Fences\Chain\ChainEnd.common.ovl,6,ChainEnd1MLOD|ChainEnd1LLOD|ChainEnd1HLOD,
Enclosures\Fences\Chain\ChainEnd.unique.ovl,6,ChainEnd1MLOD|ChainEnd1LLOD|ChainEnd1HLOD,
Enclosures\Fences\Chain\ChainFull.common.ovl,3,ChainFullHLOD|ChainFullMLOD|ChainFullLLOD,
Enclosures\Fences\Chain\ChainFull.unique.ovl,3,ChainFullHLOD|ChainFullMLOD|ChainFullLLOD,
Enclosures\Fences\Chain\ChainViewLeft.common.ovl,3,ChainViewLeftMLOD|ChainViewLeftLLOD|ChainViewLeftHLOD,
Enclosures\Fences\Chain\ChainViewLeft.unique.ovl,3,ChainViewLeftMLOD|ChainViewLeftLLOD|ChainViewLeftHLOD,
Enclosures\Fences\Chain\ChainViewMid.common.ovl,3,ChainViewMidHLOD|ChainViewMidMLOD|ChainViewMidLLOD,
Enclosures\Fences\Chain\ChainViewMid.unique.ovl,3,ChainViewMidHLOD|ChainViewMidMLOD|ChainViewMidLLOD,
Enclosures\Fences\Chain\ChainViewRight.common.ovl,3,ChainViewRightMLOD|ChainViewRightLLOD|ChainViewRightHLOD,
Enclosures\Fences\Chain\ChainViewRight.unique.ovl,3,ChainViewRightMLOD|ChainViewRightLLOD|ChainViewRightHLOD,
Enclosures\Fences\Electric\ElectricCorner.common.ovl,6,ElectricCorner1HLOD|ElectricCorner2MLOD|ElectricCorner2LLOD,
Enclosures\Fences\Electric\ElectricCorner.unique.ovl,6,ElectricCorner1HLOD|ElectricCorner2MLOD|ElectricCorner2LLOD,
Enclosures\Fences\Electric\ElectricCornerI.common.ovl,3,ElectricCorner3MLOD|ElectricCorner3LLOD|ElectricCorner3HLOD,
Enclosures\Fences\Electric\ElectricCornerI.unique.ovl,3,ElectricCorner3MLOD|ElectricCorner3LLOD|ElectricCorner3HLOD,
Enclosures\Fences\Electric\ElectricEdge.common.ovl,12,ElectricEdge1Damage2MLOD|ElectricEdge1Damage2LLOD|ElectricEdge2HLOD,
Enclosures\Fences\Electric\ElectricEdge.unique.ovl,12,ElectricEdge1Damage2MLOD|ElectricEdge1Damage2LLOD|ElectricEdge2HLOD,
