file,decoded,ftx_entries,crash
Characters\AF\AF01_Legs_Main.common.ovl,2,0,
Characters\AF\AF01_Legs_Stub.common.ovl,0,0,
Characters\AF\AF01_OnePiece.common.ovl,2,0,
Characters\AF\AF01_Skin.common.ovl,2,0,
Characters\AF\AF01_SwimSuitBody1_Main.common.ovl,0,0,
Characters\AF\AF01_SwimSuitBody1_Stub.common.ovl,0,0,
Characters\AF\AF01_SwimSuitBody2_Main.common.ovl,0,0,
Characters\AF\AF01_SwimSuitBody2_Stub.common.ovl,0,0,
Characters\AF\AF01_SwimSuitLegs1_Main.common.ovl,0,0,
Characters\AF\AF01_SwimSuitLegs1_Stub.common.ovl,0,0,
Characters\AF\AF01_SwimSuitLegs2_Main.common.ovl,0,0,
Characters\AF\AF01_SwimSuitLegs2_Stub.common.ovl,0,0,
Characters\AF\AF02.common.ovl,0,0,
Characters\AF\AF02_Head_Main.common.ovl,0,0,
Characters\AF\AF02_Head_Stub.common.ovl,0,0,
Characters\AF\AF02_Skin.common.ovl,2,0,
Characters\AF\AF03.common.ovl,0,0,
Characters\AF\AF03_Head_Main.common.ovl,0,0,
Characters\AF\AF03_Head_Stub.common.ovl,0,0,
Characters\AF\AF03_Skin.common.ovl,2,0,
Characters\AF\AF04.common.ovl,0,0,
Characters\AF\AF04_Head_Main.common.ovl,0,0,
Characters\AF\AF04_Head_Stub.common.ovl,0,0,
Characters\AF\AF04_Skin.common.ovl,2,0,
Characters\AF\AF05.common.ovl,0,0,
Characters\AF\AF05_Head_Main.common.ovl,0,0,
Characters\AF\AF05_Head_Stub.common.ovl,0,0,
Characters\AF\AF05_Skin.common.ovl,2,0,
Characters\AF\AF06.common.ovl,0,0,
Characters\AF\AF06_Body_Main.common.ovl,2,0,
Characters\AF\AF06_Body_Stub.common.ovl,0,0,
Characters\AF\AF06_Head_Main.common.ovl,0,0,
Characters\AF\AF06_Head_Stub.common.ovl,0,0,
Characters\AF\AF06_Legs_Main.common.ovl,2,0,
Characters\AF\AF06_Legs_Stub.common.ovl,0,0,
Characters\AF\AF06_Skin.common.ovl,2,0,
Characters\AM\AdultMale.common.ovl,0,0,
Characters\AM\AM01.common.ovl,0,0,
Characters\AM\AM01_Body_Main.common.ovl,2,0,
Characters\AM\AM01_Body_Stub.common.ovl,0,0,
Characters\AM\AM01_Head_Main.common.ovl,0,0,
Characters\AM\AM01_Head_Stub.common.ovl,0,0,
Characters\AM\AM01_Inflatable.common.ovl,2,0,
Characters\AM\AM01_Legs_Main.common.ovl,2,0,
Characters\AM\AM01_Legs_Stub.common.ovl,0,0,
Characters\AM\AM01_Skin.common.ovl,2,0,
Characters\AM\AM01_Swimsuit.common.ovl,2,0,
Characters\AM\AM01_SwimSuitBody_Main.common.ovl,0,0,
Characters\AM\AM01_SwimSuitBody_Stub.common.ovl,0,0,
Characters\AM\AM01_SwimSuitLegs1_Main.common.ovl,0,0,
Characters\AM\AM01_SwimSuitLegs1_Stub.common.ovl,0,0,
Characters\AM\AM01_SwimSuitLegs2_Main.common.ovl,0,0,
Characters\AM\AM01_SwimSuitLegs2_Stub.common.ovl,0,0,
Characters\AM\AM02.common.ovl,0,0,
Characters\AM\AM02_Head_Main.common.ovl,0,0,
Characters\AM\AM02_Head_Stub.common.ovl,0,0,
Characters\AM\AM02_Skin.common.ovl,2,0,
Characters\AM\AM03.common.ovl,0,0,
Characters\AM\AM03_Head_Main.common.ovl,0,0,
Characters\AM\AM03_Head_Stub.common.ovl,0,0,
Characters\AM\AM03_Skin.common.ovl,2,0,
Characters\AM\AM04.common.ovl,0,0,
Characters\AM\AM04_Head_Main.common.ovl,0,0,
Characters\AM\AM04_Head_Stub.common.ovl,0,0,
Characters\AM\AM04_Skin.common.ovl,2,0,
Characters\AM\AM05.common.ovl,0,0,
Characters\AM\AM05_Body_Main.common.ovl,2,0,
Characters\AM\AM05_Body_Stub.common.ovl,0,0,
Characters\AM\AM05_Head_Main.common.ovl,0,0,
Characters\AM\AM05_Head_Stub.common.ovl,0,0,
Characters\AM\AM05_Legs.common.ovl,2,0,
Characters\AM\AM05_Legs_Main.common.ovl,0,0,
Characters\AM\AM05_Legs_Stub.common.ovl,0,0,
Characters\AM\AM05_Skin.common.ovl,2,0,
Characters\AM\AM07.common.ovl,0,0,
Characters\AM\AM07_Head_Main.common.ovl,0,0,
Characters\AM\AM07_Head_Stub.common.ovl,0,0,
Characters\AM\AM07_Skin.common.ovl,2,0,
Characters\AnimalKeeper\AK01.common.ovl,0,0,
Characters\AnimalKeeper\AK01_All.common.ovl,2,0,
Characters\AnimalKeeper\AK01_Body_Main.common.ovl,0,0,
Characters\AnimalKeeper\AK01_Body_Stub.common.ovl,0,0,
Characters\AnimalKeeper\AK01_Head_Main.common.ovl,0,0,
Characters\AnimalKeeper\AK01_Head_Stub.common.ovl,0,0,
Characters\AnimalKeeper\AK01_Legs_Main.common.ovl,0,0,
Characters\AnimalKeeper\AK01_Legs_Stub.common.ovl,0,0,
Characters\AnimalKeeper\AK01_Tools.common.ovl,2,0,
Characters\AnimalKeeper\AnimalKeeper.common.ovl,0,0,
